Depth,Source,Source_abbrev,Latitude,Longitude,Sample,Material,Rate_sa,Rate_error_sa,Organics,Device,Deployment_d,Biogenic,Year,Comments,Mesh,Rate_mass,Month,Size,Fragmentation_pct,Rate_error_mass,Temp_CDisk4,pH_CDisk4_T25,Salinity_CDisk4,TA_CDisk4,DIC_CDisk4_calc13,Oca_CDisk4_calc13,Oar_CDisk4_calc13,Omega_CDisk4_calc13
1009.73236,"Berger, 1967",B67,18.82,-168.51,Foraminifera,Calcite,,,False,False,121.0,True,1967.0,"sample from sediments, bleached",62.0,0.006611570247933885,,,,,,,,,,,,
1253.04136,"Berger, 1967",B67,18.82,-168.51,Foraminifera,Calcite,,,False,False,121.0,True,1967.0,"sample from sediments, bleached",62.0,0.01763082644628099,,,,,,,,,,,,
1508.51582,"Berger, 1967",B67,18.82,-168.51,Foraminifera,Calcite,,,False,False,121.0,True,1967.0,"sample from sediments, bleached",62.0,0.011019256198347106,,,,,,,,,,,,
1763.99027,"Berger, 1967",B67,18.82,-168.51,Foraminifera,Calcite,,,False,False,121.0,True,1967.0,"sample from sediments, bleached",62.0,0.022038595041322315,,,,,,,,,,,,
2250.60827,"Berger, 1967",B67,18.82,-168.51,Foraminifera,Calcite,,,False,False,121.0,True,1967.0,"sample from sediments, bleached",62.0,0.02424239669421488,,,,,,,,,,,,
2749.39173,"Berger, 1967",B67,18.82,-168.51,Foraminifera,Calcite,,,False,False,121.0,True,1967.0,"sample from sediments, bleached",62.0,0.07052338842975206,,,,,,,,,,,,
3248.17518,"Berger, 1967",B67,18.82,-168.51,Foraminifera,Calcite,,,False,False,121.0,True,1967.0,"sample from sediments, bleached",62.0,0.13884297520661157,,,,,,,,,,,,
3759.12409,"Berger, 1967",B67,18.82,-168.51,Foraminifera,Calcite,,,False,False,121.0,True,1967.0,"sample from sediments, bleached",62.0,0.10798900826446281,,,,,,,,,,,,
4756.691,"Berger, 1967",B67,18.82,-168.51,Foraminifera,Calcite,,,False,False,121.0,True,1967.0,"sample from sediments, bleached",62.0,0.266666694214876,,,,,,,,,,,,
5243.309,"Berger, 1967",B67,18.82,-168.51,Foraminifera,Calcite,,,False,False,121.0,True,1967.0,"sample from sediments, bleached",62.0,0.45619834710743806,,,,,,,,,,,,
243.309,"Berger, 1967",B67,18.82,-168.51,Foraminifera,Calcite,,,True,False,121.0,True,1967.0,"sample from sediments, untreated",62.0,0.0,,,,,,,,,,,,
742.09246,"Berger, 1967",B67,18.82,-168.51,Foraminifera,Calcite,,,True,False,121.0,True,1967.0,"sample from sediments, untreated",62.0,0.011019256198347106,,,,,,,,,,,,
